08/04/2020 05:26:32 - INFO - __main__ -   SentenceVAE(
  (embedding): Embedding(9877, 300)
  (embedding_dropout): Dropout(p=0.5, inplace=False)
  (encoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (decoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (hidden2mean): Linear(in_features=600, out_features=16, bias=True)
  (hidden2logv): Linear(in_features=600, out_features=16, bias=True)
  (latent2hidden): Linear(in_features=16, out_features=600, bias=True)
  (outputs2vocab): Linear(in_features=300, out_features=9877, bias=True)
)
08/04/2020 05:26:32 - INFO - __main__ -   Number of GPU: 1
08/04/2020 05:29:30 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss    5.0903, Recon-Loss    5.0903, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:34 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss    4.9707, Recon-Loss    4.9707, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:38 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss    4.8516, Recon-Loss    4.8515, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:41 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss    4.9346, Recon-Loss    4.9346, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:45 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss    4.9131, Recon-Loss    4.9131, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:49 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss    4.8285, Recon-Loss    4.8285, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:53 - INFO - __main__ -   TRAIN Batch 0800/1314, Loss    4.8087, Recon-Loss    4.8087, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:29:57 - INFO - __main__ -   TRAIN Batch 0900/1314, Loss    4.6015, Recon-Loss    4.6014, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:01 - INFO - __main__ -   TRAIN Batch 1000/1314, Loss    4.7820, Recon-Loss    4.7820, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:04 - INFO - __main__ -   TRAIN Batch 1100/1314, Loss    4.7393, Recon-Loss    4.7393, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:07 - INFO - __main__ -   TRAIN Batch 1200/1314, Loss    4.8758, Recon-Loss    4.8758, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:10 - INFO - __main__ -   TRAIN Batch 1300/1314, Loss    5.0384, Recon-Loss    5.0384, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:10 - INFO - __main__ -   TRAIN Batch 1314/1314, Loss    4.5644, Recon-Loss    4.5644, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:11 - INFO - __main__ -   TRAIN Epoch 03/8, Mean Negative ELBO    4.8104, PPL: 122.7802
08/04/2020 05:30:13 - INFO - __main__ -   VALID Batch 0000/105, Loss    5.6727, Recon-Loss    5.6727, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:14 - INFO - __main__ -   VALID Batch 0100/105, Loss    5.4114, Recon-Loss    5.4114, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:14 - INFO - __main__ -   VALID Batch 0105/105, Loss    4.3195, Recon-Loss    4.3195, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:14 - INFO - __main__ -   VALID Epoch 03/8, Mean Negative ELBO    4.8604, PPL: 129.0753
08/04/2020 05:30:16 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss    4.7471, Recon-Loss    4.7470, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:20 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss    4.6466, Recon-Loss    4.6466, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:24 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss    4.2308, Recon-Loss    4.2308, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:27 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss    4.5648, Recon-Loss    4.5648, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:31 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss    4.3791, Recon-Loss    4.3791, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:30:35 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss    4.5143, Recon-Loss    4.5143, KL-Loss    0.0000, KL-Weight  1.000
